,TIME,NUM1,NUM2,NUM3,NUM4,NUM5,NUM6,BONUS_NUM
175,176,4,17,30,32,33,34,15
176,177,1,10,13,16,37,43,6
177,178,1,5,11,12,18,23,9
178,179,5,9,17,25,39,43,32
179,180,2,15,20,21,29,34,22
180,181,14,21,23,32,40,45,44
181,182,13,15,27,29,34,40,35
182,183,2,18,24,34,40,42,5
183,184,1,2,6,16,20,33,41
184,185,1,2,4,8,19,38,14
185,186,4,10,14,19,21,45,9
186,187,1,2,8,18,29,38,42
187,188,19,24,27,30,31,34,36
188,189,8,14,32,35,37,45,28
189,190,8,14,18,30,31,44,15
190,191,5,6,24,25,32,37,8
191,192,4,8,11,18,37,45,33
192,193,6,14,18,26,36,39,13
193,194,15,20,23,26,39,44,28
194,195,7,10,19,22,35,40,31
195,196,35,36,37,41,44,45,30
196,197,7,12,16,34,42,45,4
197,198,12,19,20,25,41,45,2
198,199,14,21,22,25,30,36,43
199,200,5,6,13,14,17,20,7
200,201,3,11,24,38,39,44,26
201,202,12,14,27,33,39,44,17
202,203,1,3,11,24,30,32,7
203,204,3,12,14,35,40,45,5
204,205,1,3,21,29,35,37,30
205,206,1,2,3,15,20,25,43
206,207,3,11,14,31,32,37,38
207,208,14,25,31,34,40,44,24
208,209,2,7,18,20,24,33,37
209,210,10,19,22,23,25,37,39
210,211,12,13,17,20,33,41,8
211,212,11,12,18,21,31,38,8
212,213,2,3,4,5,20,24,42
213,214,5,7,20,25,28,37,32
214,215,2,3,7,15,43,44,4
215,216,7,16,17,33,36,40,1
216,217,16,20,27,33,35,39,38
217,218,1,8,14,18,29,44,20
218,219,4,11,20,26,35,37,16
219,220,5,11,19,21,34,43,31
220,221,2,20,33,35,37,40,10
221,222,5,7,28,29,39,43,44
222,223,1,3,18,20,26,27,38
223,224,4,19,26,27,30,42,7
224,225,5,11,13,19,31,36,7
225,226,2,6,8,14,21,22,34
226,227,4,5,15,16,22,42,2
227,228,17,25,35,36,39,44,23
228,229,4,5,9,11,23,38,35
229,230,5,11,14,29,32,33,12
230,231,5,10,19,31,44,45,27
231,232,8,9,10,12,24,44,35
232,233,4,6,13,17,28,40,39
233,234,13,21,22,24,26,37,4
234,235,21,22,26,27,31,37,8
235,236,1,4,8,13,37,39,7
236,237,1,11,17,21,24,44,33
237,238,2,4,15,28,31,34,35
238,239,11,15,24,39,41,44,7
239,240,6,10,16,40,41,43,21
240,241,2,16,24,27,28,35,21
241,242,4,19,20,21,32,34,43
242,243,2,12,17,19,28,42,34
243,244,13,16,25,36,37,38,19
244,245,9,11,27,31,32,38,22
245,246,13,18,21,23,26,39,15
246,247,12,15,28,36,39,40,13
247,248,3,8,17,23,38,45,13
248,249,3,8,27,31,41,44,11
249,250,19,23,30,37,43,45,38
250,251,6,7,19,25,28,38,45
251,252,14,23,26,31,39,45,28
252,253,8,19,25,31,34,36,33
253,254,1,5,19,20,24,30,27
254,255,1,5,6,24,27,42,32
255,256,4,11,14,21,23,43,32
256,257,6,13,27,31,32,37,4
257,258,14,27,30,31,38,40,17
258,259,4,5,14,35,42,45,34
259,260,7,12,15,24,37,40,43
260,261,6,11,16,18,31,43,2
261,262,9,12,24,25,29,31,36
262,263,1,27,28,32,37,40,18
263,264,9,16,27,36,41,44,5
264,265,5,9,34,37,38,39,12
265,266,3,4,9,11,22,42,37
266,267,7,8,24,34,36,41,1
267,268,3,10,19,24,32,45,12
268,269,5,18,20,36,42,43,32
269,270,5,9,12,20,21,26,27
270,271,3,8,9,27,29,40,36
271,272,7,9,12,27,39,43,28
272,273,1,8,24,31,34,44,6
273,274,13,14,15,26,35,39,25
274,275,14,19,20,35,38,40,26
275,276,4,15,21,33,39,41,25
276,277,10,12,13,15,25,29,20
277,278,3,11,37,39,41,43,13
278,279,7,16,31,36,37,38,11
279,280,10,11,23,24,36,37,35
280,281,1,3,4,6,14,41,12
281,282,2,5,10,18,31,32,30
